"Multidimensional poverty index (MPI)"
"Dimension: Poverty"
"Definition: Percentage of the population that is multidimensionally poor adjusted by the intensity of the deprivations. See Technical note 5 at http:// hdr.undp.org/sites/default/files/hdr2020_technical_ notes.pdf for details on how the Multidimensional Poverty Index is calculated."
"Source: HDRO and OPHI calculations based on data on deprivations in health, education and standard of living from household surveys listed in column 1 using the methodology described in Technical note 5 (http://hdr.undp.org/sites/default/files/mpi2020_ technical_notes.pdf). Columns 4 and 5 use population data from United Nations Department of Economic and Social Affairs. 2019a. World Population Prospects: The 2019 Revision. New York. https://esa. un.org/unpd/wpp/. Accessed 30 April 2020."
""
"HDI Rank","Country","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2008-2019",""
"175"," Guinea-Bissau","..","","..","","..","","..","","..","","..","","0.372","","..","","..","","..","","..","","..","","0.372","a"
"122"," Guyana","..","","..","","..","","..","","..","","..","","0.014","","..","","..","","..","","..","","..","","0.014","a"
"170"," Haiti","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.200","","..","","..","","0.200","a"
"132"," Honduras","..","","..","","..","","..","","0.090","","..","","..","","..","","..","","..","","..","","..","","0.090","a,j"
"131"," India","..","","..","","..","","..","","..","","..","","..","","..","","0.123","","..","","..","","..","","0.123","a"
"107"," Indonesia","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.014","","..","","..","","0.014","a,b"
"123"," Iraq","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.033","","..","","0.033","a"
"101"," Jamaica","..","","..","","..","","..","","..","","..","","0.018","","..","","..","","..","","..","","..","","0.018","a,c"
"102"," Jordan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.002","","..","","0.002","a"
"51"," Kazakhstan","..","","..","","..","","..","","..","","..","","..","","0.002","","..","","..","","..","","..","","0.002","a,d"
"143"," Kenya","..","","..","","..","","..","","..","","..","","0.178","","..","","..","","..","","..","","..","","0.178","a"
"134"," Kiribati","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.080","","0.080","a"
"120"," Kyrgyzstan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.001","","..","","0.001","a"
"137"," Lao People's Democratic Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.108","","..","","..","","0.108","a"
"165"," Lesotho","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.084","","..","","0.084","a,i"
"175"," Liberia","..","","..","","..","","..","","..","","0.320","","..","","..","","..","","..","","..","","..","","0.320","a"
"105"," Libya","..","","..","","..","","..","","..","","..","","0.007","","..","","..","","..","","..","","..","","0.007","a"
"164"," Madagascar","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.384","","..","","0.384","a"
"174"," Malawi","..","","..","","..","","..","","..","","..","","..","","..","","0.243","","..","","..","","..","","0.243","a"
"95"," Maldives","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.003","","..","","..","","0.003","a"
"184"," Mali","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.376","","..","","0.376","a"
"157"," Mauritania","..","","..","","..","","..","","..","","..","","..","","0.261","","..","","..","","..","","..","","0.261","a"
"74"," Mexico","..","","..","","..","","..","","..","","..","","..","","..","","0.026","","..","","..","","..","","0.026","a,c"
"90"," Moldova (Republic of)","..","","..","","..","","..","","0.004","","..","","..","","..","","..","","..","","..","","..","","0.004","a"
"99"," Mongolia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.028","","..","","0.028","a,k"
"48"," Montenegro","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.005","","..","","0.005","a"
"121"," Morocco","..","","..","","..","","0.085","","..","","..","","..","","..","","..","","..","","..","","..","","0.085","a,d"
"181"," Mozambique","..","","..","","..","","0.411","","..","","..","","..","","..","","..","","..","","..","","..","","0.411","a"
"147"," Myanmar","..","","..","","..","","..","","..","","..","","..","","..","","0.176","","..","","..","","..","","0.176","a"
"130"," Namibia","..","","..","","..","","..","","..","","0.171","","..","","..","","..","","..","","..","","..","","0.171","a"
"142"," Nepal","..","","..","","..","","..","","..","","..","","..","","..","","0.148","","..","","..","","..","","0.148","a"
"128"," Nicaragua","..","","..","","..","","..","","0.074","","..","","..","","..","","..","","..","","..","","..","","0.074","a"
"189"," Niger","..","","..","","..","","..","","0.590","","..","","..","","..","","..","","..","","..","","..","","0.590","a"
"161"," Nigeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.254","","..","","0.254","a"
"82"," North Macedonia","..","","..","","..","","0.010","","..","","..","","..","","..","","..","","..","","..","","..","","0.010","a,c"
"154"," Pakistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.198","","..","","0.198","a"
"115"," Palestine, State of","..","","..","","..","","..","","..","","..","","0.004","","..","","..","","..","","..","","..","","0.004","a"
"155"," Papua New Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.263","","..","","0.263","a,b"
"103"," Paraguay","..","","..","","..","","..","","..","","..","","..","","..","","0.019","","..","","..","","..","","0.019","a"
"79"," Peru","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.029","","..","","0.029","a"
"107"," Philippines","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.024","","..","","..","","0.024","a,b"
"160"," Rwanda","..","","..","","..","","..","","..","","..","","..","","0.259","","..","","..","","..","","..","","0.259","a"
"86"," Saint Lucia","..","","..","","..","","..","","0.007","","..","","..","","..","","..","","..","","..","","..","","0.007","a,c"
"135"," Sao Tome and Principe","..","","..","","..","","..","","..","","..","","0.092","","..","","..","","..","","..","","..","","0.092","a"
"168"," Senegal","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.288","","..","","..","","0.288","a"
"64"," Serbia","..","","..","","..","","..","","..","","..","","0.001","","..","","..","","..","","..","","..","","0.001","a,d"
"67"," Seychelles","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.003","","0.003","a,i,l"
"182"," Sierra Leone","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.297","","..","","..","","0.297","a"
"114"," South Africa","..","","..","","..","","..","","..","","..","","..","","..","","0.025","","..","","..","","..","","0.025","a"
"185"," South Sudan","..","","..","","0.580","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.580","a"
"72"," Sri Lanka","..","","..","","..","","..","","..","","..","","..","","..","","0.011","","..","","..","","..","","0.011","a"
"170"," Sudan","..","","..","","..","","..","","..","","..","","0.279","","..","","..","","..","","..","","..","","0.279","a"
"97"," Suriname","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.011","","..","","0.011","a"
"151"," Syrian Arab Republic","..","","0.029","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.029","a,d"
"125"," Tajikistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.029","","..","","..","","0.029","a"
"163"," Tanzania (United Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","0.273","","..","","..","","..","","0.273","a"
"79"," Thailand","..","","..","","..","","..","","..","","..","","..","","..","","0.003","","..","","..","","..","","0.003","a,d"
"141"," Timor-Leste","..","","..","","..","","..","","..","","..","","..","","..","","0.210","","..","","..","","..","","0.210","a"
"167"," Togo","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.180","","..","","..","","0.180","a"
"67"," Trinidad and Tobago","..","","..","","..","","0.002","","..","","..","","..","","..","","..","","..","","..","","..","","0.002","a,d"
"95"," Tunisia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.003","","..","","0.003","a"
"111"," Turkmenistan","..","","..","","..","","..","","..","","..","","..","","..","","0.001","","..","","..","","..","","0.001","a"
"159"," Uganda","..","","..","","..","","..","","..","","..","","..","","..","","0.269","","..","","..","","..","","0.269","a"
"74"," Ukraine","..","","..","","..","","..","","0.001","","..","","..","","..","","..","","..","","..","","..","","0.001","a,b"
"117"," Viet Nam","..","","..","","..","","..","","..","","..","","0.019","","..","","..","","..","","..","","..","","0.019","a,b"
"179"," Yemen","..","","..","","..","","..","","..","","0.241","","..","","..","","..","","..","","..","","..","","0.241","a"
"146"," Zambia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.232","","..","","0.232","a"
"150"," Zimbabwe","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.110","","0.110","a"
"36"," Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"31"," United Arab Emirates","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"46"," Argentina","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"78"," Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"8"," Australia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"18"," Austria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"88"," Azerbaijan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"14"," Belgium","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"56"," Bulgaria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"42"," Bahrain","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"58"," Bahamas","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"53"," Belarus","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"47"," Brunei Darussalam","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"16"," Canada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"2"," Switzerland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"43"," Chile","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"126"," Cabo Verde","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"62"," Costa Rica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"33"," Cyprus","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"27"," Czechia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"6"," Germany","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"166"," Djibouti","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"94"," Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"10"," Denmark","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"180"," Eritrea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"25"," Spain","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"29"," Estonia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"11"," Finland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"93"," Fiji","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"26"," France","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"136"," Micronesia (Federated States of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"13"," United Kingdom","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"145"," Equatorial Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"32"," Greece","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Grenada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"4"," Hong Kong, China (SAR)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"43"," Croatia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"40"," Hungary","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"2"," Ireland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"70"," Iran (Islamic Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"4"," Iceland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Israel","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"29"," Italy","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Japan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"23"," Korea (Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"64"," Kuwait","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"92"," Lebanon","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"34"," Lithuania","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"23"," Luxembourg","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"37"," Latvia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"117"," Marshall Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"28"," Malta","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"66"," Mauritius","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"62"," Malaysia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"8"," Netherlands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"1"," Norway","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"14"," New Zealand","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"60"," Oman","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"57"," Panama","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"50"," Palau","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"35"," Poland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"38"," Portugal","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"45"," Qatar","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"49"," Romania","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"52"," Russian Federation","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"40"," Saudi Arabia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"11"," Singapore","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"151"," Solomon Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"39"," Slovakia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"22"," Slovenia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"7"," Sweden","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"104"," Tonga","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"54"," Turkey","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"55"," Uruguay","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"17"," United States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"106"," Uzbekistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"97"," Saint Vincent and the Grenadines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"113"," Venezuela (Bolivarian Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"140"," Vanuatu","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"111"," Samoa","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Developing Countries","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.108",""
"","Regions","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","",""
" ","Arab States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.077",""
" ","East Asia and the Pacific","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.023",""
" ","Europe and Central Asia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.004",""
" ","Latin America and the Caribbean","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.031",""
" ","South Asia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.132",""
" ","Sub-Saharan Africa","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.299",""
"a: Not all indicators were available for all countries, so caution should be used in cross-country comparisons. When an indicator is missing, weights of available indicators are adjusted to total 100 percent. See Technical note 5 at http://hdr.undp.org/sites/default/files/hdr2020_technical_notes.pdf for details."
"b: Missing indicator on nutrition."
"c: Missing indicator on child mortality."
"d: Considers child deaths that occurred at any time because the survey did not collect the date of child deaths."
"e: Indicator on child mortality captures only deaths of children under age 5 who died in the last five years and deaths of children ages 12–18 years who died in the last two years."
"f: The methodology was adjusted to account for missing indicator on nutrition and incomplete indicator on child mortality (the survey did not collect the date of child deaths)."
"g: Missing indicator on housing."
"h: Given the information available in the data, child mortality was constructed based on deaths that occurred between surveys- that is, between 2012 and 2014. Child deaths reported by an adult man in the household were taken into account because the date of death was reported."
"i: Missing indicator on cooking fuel."
"j: Missing indicator on electricity."
"k: Indicator on sanitation follows the national classification in which pit latrine with slab is considered unimproved."
"l: Missing indicator on school attendance."
""
