,Country,hdi_2009,hdi_2019,hdi_var,edu_2009,edu_2019,edu_var,pov_index
0, Afghanistan,0.46000000834465027,0.5109999775886536,0.050999969244003296,8.899999618530273,10.199999809265137,1.3000001907348633,0.2720000147819519
1, Albania,0.7329999804496765,0.7950000166893005,0.06200003623962402,12.300000190734863,14.699999809265137,2.3999996185302734,0.003000000026077032
2, Algeria,0.7110000252723694,0.7480000257492065,0.03700000047683716,13.600000381469727,14.600000381469727,1.0,0.00800000037997961
3, Andorra,0.8389999866485596,0.8679999709129333,0.02899998426437378,11.699999809265137,13.300000190734863,1.6000003814697266,0.14128972589969635
4, Angola,0.5149999856948853,0.5809999704360962,0.06599998474121094,9.0,11.800000190734863,2.8000001907348633,0.28200000524520874
5, Antigua and Barbuda,0.7670000195503235,0.777999997138977,0.010999977588653564,13.0,12.800000190734863,-0.19999980926513672,0.14128972589969635
6, Argentina,0.8209999799728394,0.8450000286102295,0.024000048637390137,16.799999237060547,17.700000762939453,0.9000015258789062,0.14128972589969635
7, Armenia,0.7419999837875366,0.7760000228881836,0.03400003910064697,13.0,13.100000381469727,0.10000038146972656,0.0010000000474974513
8, Australia,0.9279999732971191,0.9440000057220459,0.016000032424926758,19.5,22.0,2.5,0.14128972589969635
9, Austria,0.8949999809265137,0.921999990940094,0.027000010013580322,15.399999618530273,16.100000381469727,0.7000007629394531,0.14128972589969635
10, Azerbaijan,0.7269999980926514,0.7559999823570251,0.02899998426437378,11.699999809265137,12.899999618530273,1.1999998092651367,0.14128972589969635
11, Bahamas,0.8029999732971191,0.8140000104904175,0.01100003719329834,12.399999618530273,12.899999618530273,0.5,0.14128972589969635
12, Bahrain,0.7979999780654907,0.8519999980926514,0.054000020027160645,13.300000190734863,16.299999237060547,2.9999990463256836,0.14128972589969635
13, Bangladesh,0.5429999828338623,0.6320000290870667,0.08900004625320435,8.899999618530273,11.600000381469727,2.700000762939453,0.10400000214576721
14, Barbados,0.800000011920929,0.8140000104904175,0.013999998569488525,15.800000190734863,15.399999618530273,-0.40000057220458984,0.008999999612569809
15, Belarus,0.7870000004768372,0.8230000138282776,0.03600001335144043,15.399999618530273,15.399999618530273,0.0,0.14128972589969635
16, Belgium,0.9070000052452087,0.9309999942779541,0.02399998903274536,19.0,19.799999237060547,0.7999992370605469,0.14128972589969635
17, Belize,0.6840000152587891,0.7160000205039978,0.03200000524520874,12.399999618530273,13.100000381469727,0.7000007629394531,0.017000000923871994
18, Benin,0.4880000054836273,0.5450000166893005,0.05700001120567322,10.600000381469727,12.600000381469727,2.0,0.36800000071525574
19, Bhutan,0.5609999895095825,0.6539999842643738,0.09299999475479126,10.600000381469727,13.0,2.3999996185302734,0.17499999701976776
20, Bolivia (Plurinational State of),0.6629999876022339,0.7179999947547913,0.05500000715255737,13.800000190734863,14.199999809265137,0.39999961853027344,0.09399999678134918
21, Bosnia and Herzegovina,0.7269999980926514,0.7799999713897705,0.05299997329711914,13.300000190734863,13.800000190734863,0.5,0.00800000037997961
22, Botswana,0.6499999761581421,0.7350000143051147,0.08500003814697266,12.199999809265137,12.800000190734863,0.6000003814697266,0.0729999989271164
23, Brazil,0.718999981880188,0.7649999856948853,0.046000003814697266,13.800000190734863,15.399999618530273,1.5999994277954102,0.01600000075995922
24, Brunei Darussalam,0.8270000219345093,0.8379999995231628,0.010999977588653564,14.100000381469727,14.300000190734863,0.19999980926513672,0.14128972589969635
25, Bulgaria,0.7820000052452087,0.8159999847412109,0.0339999794960022,14.199999809265137,14.399999618530273,0.19999980926513672,0.14128972589969635
26, Burkina Faso,0.37299999594688416,0.4519999921321869,0.07899999618530273,6.300000190734863,9.300000190734863,3.0,0.5189999938011169
27, Burundi,0.4009999930858612,0.43299999833106995,0.03200000524520874,9.800000190734863,11.100000381469727,1.3000001907348633,0.40299999713897705
28, Cabo Verde,0.6299999952316284,0.6650000214576721,0.0350000262260437,12.600000381469727,12.699999809265137,0.09999942779541016,0.14128972589969635
29, Cambodia,0.527999997138977,0.593999981880188,0.06599998474121094,10.699999809265137,11.5,0.8000001907348633,0.17000000178813934
30, Cameroon,0.49799999594688416,0.5630000233650208,0.0650000274181366,9.899999618530273,12.100000381469727,2.200000762939453,0.24300000071525574
